cat_or_group,base,dark,clinical-depression
ACME,-0.1897967063503859,-0.6045236653898896,-0.007511533371095399
GAD-7,-0.12676982799283906,-0.7125000291809618,0.35546136038027576
PHQ-9,-0.3628090295725262,-1.0805812009765972,0.4102626757186687
PTQ,0.20625753899059146,-0.7876399889444071,0.36391008349056747
SD3,-0.4381139819825218,-0.13325212015649657,-0.5478198608411267
emotion_dysregulation,1.272499569579518,0.2873652544603399,1.239485964555642
experiential_avoidance,0.4999383765652501,-0.21996828799277324,0.33161370216060865
goal_adjustment,1.052950638204407,-0.14773015748105467,0.3837034879953635
hopelessness,0.2009502315988505,0.1581245167172539,0.3925707777293083
intolerance_uncertainty,0.005400262070687595,-0.08746487503555544,0.28650424195268015
machiavellianism,0.07627015094258732,0.10471086718935349,-0.1811164533099165
motivational_systems,0.6894915342201183,0.22015095808107332,0.6255051164200787
narcissism,-0.13694132063753836,-0.06285846820571661,-0.24300547438461523
negative_self_schema,0.33499332912172486,-0.37710990031359837,0.10068576450242525
psychopathy,-0.22610002168498985,0.025022372345800212,-0.17294358730761422
rumination,0.6045217080824562,-0.21934429257564486,1.0032628126709782
worry,0.8288090168305416,0.5069036598447827,0.9592526571119357
